make;model;body;transmission;color;condition;price
1;1;1;1;1;5;21500
1;1;1;1;1;5;21500
2;2;2;1;2;5;30000
3;3;2;1;1;4;27750
4;5;2;1;2;1;10900
5;7;2;1;3;2;9800
6;8;2;1;1;4;32250
5;9;3;1;4;3;17500
1;11;2;1;4;5;17700
7;12;2;1;1;2;12000
1;1;1;1;2;5;21500
4;5;2;1;3;2;14100
5;9;4;1;3;2;17000
5;15;2;1;2;2;7200
2;16;2;1;3;3;30000
6;17;2;1;2;5;23750
3;18;5;1;6;4;32500
3;18;5;1;7;5;32500
5;9;4;1;2;4;19500
5;7;2;1;2;4;11500
1;1;1;1;4;5;20750
1;1;1;1;2;4;21000
2;2;2;1;3;5;30500
2;2;2;1;1;5;27500
3;23;5;1;1;4;30000
3;23;5;1;3;4;30000
5;7;2;1;5;3;13000
9;25;2;1;2;3;21250
1;1;1;1;5;5;20750
3;23;5;1;5;4;30000
4;5;2;1;3;1;11500
1;1;1;1;5;5;20500
5;27;2;1;5;1;9800
1;1;1;1;1;5;19300
6;17;2;1;1;2;17300
4;29;2;2;12;4;11000
5;9;4;1;3;3;20600
11;30;2;1;5;1;10500
1;1;1;1;1;5;21250
5;9;4;1;2;4;19600
6;17;2;1;2;5;25750
4;31;6;1;4;2;9000
2;33;1;1;1;5;26500
5;9;4;1;4;1;13600
3;23;5;1;5;4;28000
5;9;4;1;3;3;13000
1;1;1;1;5;4;22250
1;1;1;1;1;5;22500
12;34;1;1;2;1;24100
6;35;4;1;5;3;34250
11;30;2;1;4;2;10600
1;1;1;1;5;5;21500
5;7;2;1;3;4;13700
5;7;2;1;8;4;13200
1;1;1;1;2;5;20500
11;30;2;1;5;4;13200
7;12;2;1;1;1;12000
5;7;2;1;5;2;10000
5;38;7;1;3;4;30250
5;7;2;1;5;4;13600
1;1;1;1;12;5;21000
5;7;2;1;4;1;3300
3;23;5;1;1;4;30000
5;9;4;2;1;4;18500
4;5;2;1;2;1;9500
11;30;2;1;8;1;5800
1;1;1;1;1;5;21750
8;39;1;1;1;4;30000
11;30;2;1;5;2;9000
5;38;7;1;1;4;30000
