Elevation,Aspect,Slope,H_Hydrology,V_Hydrology,H_Ignition,Cover
2596,51,3,258,0,6279,1
2590,56,2,212,-6,6225,1
2804,139,9,268,65,6121,2
2511,54,8,124,0,5569,1
2507,22,9,120,14,5534,1
2492,135,6,0,0,5494,1
2489,163,10,30,-4,5486,1
2962,148,16,323,23,3395,2
2811,135,1,212,30,5643,2
2739,117,24,127,53,6033,1
2703,122,30,67,27,6123,1
2522,105,7,120,1,5569,1
2519,102,6,124,4,5559,1
2516,23,6,150,4,5541,1
2515,41,9,162,4,5532,1
2900,45,19,242,20,4115,2
2709,125,28,67,23,6094,1
2511,92,7,182,18,5494,1
2749,98,30,124,53,6005,1
2686,354,12,0,0,6155,1
2699,347,3,0,0,6853,3
2570,346,2,0,0,5745,2
2533,71,9,150,-3,5552,1
2703,330,27,30,17,6186,1
2678,128,5,95,23,6546,2
2529,68,8,210,-5,5484,1
2524,94,7,212,-4,5474,1
2536,99,6,234,0,5475,1
2498,66,6,95,7,5357,1
2489,100,7,85,13,5334,1
2713,117,30,60,17,6039,1
2739,323,25,85,43,6219,3
2696,72,2,30,0,6071,3
2510,79,14,192,19,5325,1
2502,81,7,175,11,5316,1
2722,315,24,30,19,6132,3
2500,74,11,190,9,5279,1
2486,68,5,180,-4,5262,1
2489,11,4,175,13,5254,1
2489,42,6,162,13,5247,1
2490,75,5,134,17,5218,1
2952,107,11,42,7,3509,2
2705,90,8,134,22,6615,2
2507,40,7,153,10,5221,1
2500,49,14,150,27,5205,1
2493,63,10,127,20,5197,1
2509,59,7,134,10,5184,1
2919,13,13,90,6,4060,3
2740,54,6,218,42,6686,2
2640,80,8,180,-2,5866,2
2843,166,12,242,53,4956,2
3008,45,14,277,10,3036,2
2893,114,16,108,30,4340,2
2850,6,9,0,0,4548,2
2628,30,10,240,19,5645,2
2864,118,18,201,74,4849,2
2827,160,28,134,65,5474,2
2529,326,5,30,14,5047,2
2808,99,7,382,95,6341,3
2840,153,26,134,42,4833,2
